title,url,date,summary
"« Paris, Capitale de la Perle» : entre luxe et histoire - VSD",https://vsd.fr/72702-paris-capitale-de-la-perle-entre-luxe-et-histoire/,2024-11-29T10:27:00+00:00,"Ronde, blanche, nacrée, immaculée... La perle fascine depuis l'Antiquité. Elle s'expose gratuitement à Paris."
"Après SpaceX, Tesla, X et Neuralink… Elon Musk veut son studio de jeux vidéo - VSD",https://vsd.fr/72721-apres-spacex-tesla-x-et-neuralink-elon-musk-veut-son-studio-de-jeux-video/,2024-11-29T14:27:00+00:00,L'homme d'affaires s'est vanté d'appartenir au cercle très fermé des vingt meilleurs joueurs mondiaux de Diablo IV.
"Notre-Dame de Paris : la charpente... d'une forêt, l'autre - VSD",https://vsd.fr/72784-notre-dame-de-paris-la-charpente-dune-foret-lautre/,2024-12-01T16:27:00+00:00,"Vendredi 29 novembre, lors d’un discours dans la cathédrale, Emmanuel Macron a remercié les 2000 contributeurs du «chantier du siècle». VSD a souhaité revenir sur la reconstruction de la charpente d'où le 15 avril 2019, l'incendie monumental a éclaté."
De la critique à la cuisine : François-Régis Gaudry se livre  - VSD,https://vsd.fr/72842-de-la-critique-a-la-cuisine-francois-regis-gaudry-se-livre/,2024-12-02T15:03:00+00:00,"A travers les lignes de « Recettes & Récits », un ouvrage dans lequel la gastronomie s'épanouit aussi bien dans les plats que dans les récits qui les accompagnent."
"Noémie Lvovsky : cinéma, humour et féminisme dans un entretien sans tabou - VSD",https://vsd.fr/72969-noemie-lvovsky-cinema-humour-et-feminisme-dans-un-entretien-sans-tabou/,2024-12-04T08:51:00+00:00,Rencontre avec une artiste aux multiples facettes qui s'impose comme un véritable caméléon du cinéma et du théâtre.
Une comédie au sommet avec «Une idée géniale» - VSD,https://vsd.fr/73009-une-comedie-au-sommet-avec-une-idee-geniale/,2024-12-05T13:39:00+00:00,"Dans «Une idée géniale» , Sébastien Castro nous offre une véritable pépite théâtrale où les rires fusent et les quiproquos s'enchaînent avec une précision déconcertante."
Le Pop Art célébré à la Fondation Vuitton - VSD,https://vsd.fr/73015-le-pop-art-celebre-a-la-fondation-vuitton/,2024-12-06T11:15:00+00:00,"La Fondation Louis Vuitton propose jusqu'au 24 février 2025, une exposition majeure intitulée « Pop Forever, Tom Wesselmann & … » , dédiée au Pop Art."
PlayStation fête ses 30 ans : entre nostalgie et innovation - VSD,https://vsd.fr/73072-playstation-fete-ses-30-ans-entre-nostalgie-et-innovation/,2024-12-06T13:39:00+00:00,"En trois décennies, PlayStation transformé la façon de jouer et d'interagir avec les jeux. A l’occasion des fêtes et de cet anniversaire Sony et Polyphony Digital lancent ce vendredi 6 à minuit My First Gran Turismo. Et c’est gratuit !"
« Le Lotus Bleu » de Tintin réédité deux fois plus long et recolorisé - VSD,https://vsd.fr/73175-le-lotus-bleu-de-tintin-reedite-deux-fois-plus-long-et-recolorise/,2024-12-09T19:07:00+00:00,L'éditeur a retravaillé les 124 pages en noir et blanc de l’album original paru en 1936. Ce dernier est beaucoup moins connu que celui publié après guerre.
Le Hellfest dévoile sa programmation sans Marilyn Manson - VSD,https://vsd.fr/73185-le-hellfest-devoile-sa-programmation-sans-marilyn-manson/,2024-12-10T08:51:00+00:00,"Marilyn Manson, accusé de violences sexuelles par plusieurs femmes, ne figure pas sur la liste du célèbre festival musical qui se tiendra du 19 au 22 juin."
